,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
0,0,42515,20241229042300,city scrape,Noelle,2010-07-30,within a few hours,100%,88%,f,1,1,46.20198,6.15672,Private room in rental unit,Private room,1,1.5,1.0,1.0,"[""Hair dryer"", ""Bathtub"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Hangers"", ""TV with standard cable"", ""Paid washer \u2013 In building"", ""Iron"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Wifi""]",$89.00,3,1125,3,3,1125,1125,3.0,1125.0,t,28,58,88,363,79,6,1,4.74,4.73,4.78,4.86,4.84,4.85,4.55,f,1,0,1,0,0.49
1,1,203997,20241229042300,city scrape,Mike,2011-08-21,within an hour,100%,100%,t,6,12,46.19964,6.1558,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,"[""Hair dryer"", ""Lake access"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Free dryer \u2013 In unit"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Hot water"", ""Shampoo"", ""Wifi""]",$130.00,5,730,5,5,1125,1125,5.0,1125.0,t,11,41,65,65,89,6,0,4.91,4.98,4.89,4.97,4.99,4.96,4.81,t,2,2,0,0,0.6
2,2,276025,20241229042300,city scrape,Gaby,2011-11-25,within an hour,100%,100%,t,2,2,46.28031,6.16833,Entire rental unit,Entire home/apt,3,1.0,1.0,4.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""Freezer"", ""Books and reading material"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""BBQ grill"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Fireplace guards"", ""Essentials"", ""Baking sheet"", ""Dining table"", ""Dedicated workspace"", ""Portable fans"", ""High chair"", ""Bed linens"", ""Hangers"", ""Free dryer \u2013 In building"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Fire pit"", ""Paid parking off premises"", ""Clothing storage: closet and dresser"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Body soap"", ""Baby safety gates"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Shared beach access"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Baby bath"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Hot water"", ""TV"", ""Free washer \u2013 In building"", ""Wifi""]",$70.00,7,360,7,7,1125,1125,7.0,1125.0,t,2,2,2,156,122,4,1,4.64,4.7,4.74,4.88,4.89,4.77,4.68,f,1,1,0,0,0.78
3,3,338682,20241229042300,city scrape,Mike,2011-08-21,within an hour,100%,100%,t,6,12,46.20708,6.15545,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""40 inch HDTV with standard cable"", ""Smoke alarm"", ""Oven"", ""Electric stove"", ""Fire extinguisher"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Shampoo"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Self check-in""]",$133.00,5,365,3,5,1125,1125,5.0,1125.0,t,13,13,22,22,121,5,1,4.82,4.86,4.76,4.9,4.89,4.87,4.7,t,2,2,0,0,0.77
4,4,399388,20241229042300,city scrape,Oscar,2012-03-23,within an hour,100%,89%,t,2,3,46.18904,6.13908,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Stove"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Window guards"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Outdoor dining area"", ""Host greets you"", ""Outdoor playground"", ""Patio or balcony"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Sun loungers"", ""Paid parking on premises"", ""Single level home"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",$53.00,2,1125,2,2,1125,1125,2.0,1125.0,t,4,4,27,269,57,7,1,4.85,4.81,4.88,4.95,4.89,4.7,4.7,f,2,0,2,0,0.38
115,115,5690631,20241229042300,city scrape,Oscar,2012-03-23,within an hour,100%,89%,t,2,3,46.18947,6.139,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Coffee maker: french press"", ""Long term stays allowed"", ""Hot water kettle"", ""Shared patio or balcony"", ""Bathtub"", ""Freezer"", ""Laundromat nearby"", ""Wine glasses"", ""Private entrance"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Exercise equipment: free weights"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Clothing storage: wardrobe and dresser"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Amica stainless steel electric stove"", ""Iron"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Body soap"", ""Host greets you"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Cleaning products"", ""Extra pillows and blankets"", ""Single level home"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",$41.00,2,1125,2,2,1125,1125,2.0,1125.0,t,7,28,57,299,46,8,1,4.85,4.89,4.87,4.91,4.82,4.91,4.75,f,2,0,2,0,0.39
217,217,10377339,20241229042300,city scrape,Mike,2016-01-05,within a few hours,100%,79%,t,1,2,46.21065,6.14419,Room in hotel,Private room,2,1.0,1.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Washer"", ""Breakfast"", ""First aid kit"", ""Building staff"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Smoke alarm"", ""Patio or balcony"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Crib"", ""Heating"", ""Dryer"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",$166.00,1,60,1,1,60,60,1.0,60.0,t,27,57,85,351,103,20,0,4.83,4.85,4.82,4.99,4.84,4.92,4.6,f,1,0,1,0,0.95
769,769,38456198,20241229042300,city scrape,Mike,2019-06-08,within an hour,100%,100%,f,1,2,46.20108,6.16266,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Hair dryer"", ""Lake access"", ""Bathtub"", ""Stove"", ""Wine glasses"", ""Private hot tub"", ""Dishes and silverware"", ""Kitchen"", ""Keypad"", ""Essentials"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Smoke alarm"", ""Refrigerator"", ""Prix body soap"", ""Heating"", ""Cleaning products"", ""Mini fridge"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Self check-in"", ""Room-darkening shades""]",$105.00,11,30,11,11,30,30,11.0,30.0,t,3,33,63,100,30,1,0,4.67,4.97,4.93,4.77,4.9,4.93,4.8,f,1,1,0,0,0.47
998,998,46462283,20241229042300,previous scrape,Mike,2016-04-26,,,,f,1,1,46.20494,6.1666,Entire rental unit,Entire home/apt,2,,1.0,,"[""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Smoking allowed"", ""Kitchen"", ""Hangers""]",,2,30,2,2,1125,1125,2.0,1125.0,t,29,59,89,364,0,0,0,,,,,,,,t,1,1,0,0,
1220,1220,554434686238635034,20241229042300,city scrape,Mike,2022-01-11,within an hour,100%,33%,t,1,1,46.21371,6.14482,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Paid parking garage off premises"", ""Hair dryer"", ""Conditioner"", ""Long term stays allowed"", ""Waterfront"", ""Hot water kettle"", ""Lake access"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Paid resort access"", ""Laundromat nearby"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Private entrance"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Other electric stove"", ""Free washer \u2013 In unit"", ""Paid parking garage on premises"", ""Elevator"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Private gym nearby"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""City skyline view"", ""Smoke alarm"", ""Body soap"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""EV charger"", ""Shared beach access"", ""Safe"", ""55 inch HDTV"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Mini fridge"", ""Single oven"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in"", ""Room-darkening shades""]",$165.00,1,1125,1,1,1125,1125,1.0,1125.0,t,19,49,79,354,124,47,3,4.94,4.98,4.94,4.98,4.98,4.94,4.9,f,1,1,0,0,3.51
