,ID ANUNCIIO,FUENTE INFO,FECHA INICIO ANFITRION,TASA DE RESPUESTA,SUPERANFITRION,CANTIDAD TOTAL ANUNCIOS,LONGITUD,TIPO DE CUARTO,BAÑOS,CAMAS,PRECIO,NOCHES MAXIMAS,MAXIMO NOCHES MINIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 90D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 30D,PUNTAJE PRECISION,PUNTAJE CHECKIN,PUNTAJE UBICACION,RESERVA INSTANTANEA,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION COMPARTIDA
0,42515,city scrape,2010-07-30,100%,f,1,6.15672,Private room,1.5,1.0,$89.00,1125,3,1125,1125.0,28,88,79,1,4.73,4.86,4.85,f,0,0
1,203997,city scrape,2011-08-21,100%,t,12,6.1558,Entire home/apt,1.0,0.0,$130.00,730,5,1125,1125.0,11,65,89,0,4.98,4.97,4.96,t,2,0
2,276025,city scrape,2011-11-25,100%,t,2,6.16833,Entire home/apt,1.0,4.0,$70.00,360,7,1125,1125.0,2,2,122,1,4.7,4.88,4.77,f,1,0
3,338682,city scrape,2011-08-21,100%,t,12,6.15545,Entire home/apt,1.5,1.0,$133.00,365,5,1125,1125.0,13,22,121,1,4.86,4.9,4.87,t,2,0
4,399388,city scrape,2012-03-23,100%,t,3,6.13908,Private room,1.0,1.0,$53.00,1125,2,1125,1125.0,4,27,57,1,4.81,4.95,4.7,f,0,0
5,411058,city scrape,2012-02-06,100%,f,3,6.1454,Private room,1.5,1.0,$125.00,7,2,7,7.0,23,83,56,0,4.84,4.94,4.89,f,0,0
6,419631,city scrape,2012-04-07,100%,f,2,6.17308,Private room,1.5,1.0,$120.00,14,2,1125,1125.0,28,32,81,0,4.98,4.99,4.86,t,1,0
7,626512,city scrape,2012-07-31,100%,t,3,6.15107,Entire home/apt,1.0,2.0,$121.00,700,30,700,700.0,7,7,52,0,4.94,5.0,4.83,f,1,0
8,649023,city scrape,2012-05-15,100%,t,2,6.14852,Entire home/apt,1.0,1.0,$101.00,21,1,1125,1125.0,20,80,161,2,4.95,4.97,4.99,f,1,0
9,664917,city scrape,2012-08-24,100%,f,4,6.12802,Entire home/apt,1.0,2.0,$118.00,730,15,1125,1125.0,28,32,47,0,4.89,4.96,4.8,f,4,0
10,693976,previous scrape,2012-09-12,,f,3,6.13978,Entire home/apt,,,,5,2,5,5.0,0,0,51,0,4.76,4.88,4.78,f,1,0
11,699903,previous scrape,2012-08-24,100%,f,4,6.12949,Entire home/apt,,,,1000,999,1125,1125.0,29,89,4,0,5.0,5.0,5.0,t,4,0
12,703260,city scrape,2012-04-04,100%,f,3,6.1824,Entire home/apt,2.0,2.0,$175.00,360,2,360,360.0,17,77,23,0,5.0,4.91,4.87,f,1,0
13,706264,city scrape,2012-09-20,100%,f,1,6.150082,Entire home/apt,1.0,2.0,$137.00,60,4,1125,1125.0,6,54,143,0,4.8,4.86,4.84,f,1,0
14,728403,previous scrape,2012-10-06,100%,t,12,6.12431,Entire home/apt,,,,1125,1,1125,1125.0,0,0,54,0,4.81,4.8,4.63,t,1,0
15,741176,city scrape,2012-09-14,,f,7,6.13691,Entire home/apt,1.5,3.0,$355.00,365,4,365,365.0,30,90,24,0,4.71,4.63,4.71,f,4,0
16,751882,city scrape,2011-07-04,100%,f,5,6.1621,Entire home/apt,1.5,2.0,$185.00,1125,3,1125,1125.0,29,89,73,0,4.3,4.69,4.85,f,1,0
17,751941,city scrape,2011-07-04,100%,f,5,6.16197,Private room,1.5,0.0,$80.00,1125,1,1125,1125.0,30,90,74,0,4.58,4.7,4.82,f,1,0
18,765191,previous scrape,2012-11-01,,f,4,6.16157,Entire home/apt,,,,30,2,30,30.0,0,0,26,0,4.72,4.96,4.76,f,1,0
19,766186,city scrape,2012-10-27,100%,t,1,6.13148,Entire home/apt,1.0,2.0,$155.00,1125,2,1125,1125.0,2,16,230,0,4.94,4.94,4.79,f,1,0
20,775934,city scrape,2012-10-06,100%,t,12,6.12765,Private room,1.5,1.0,$53.00,31,30,31,31.0,30,90,27,0,4.59,4.63,4.59,f,1,0
21,800449,previous scrape,2012-11-22,100%,f,5,6.12666,Entire home/apt,,,,40,3,40,40.0,0,0,30,0,4.93,4.76,4.66,f,1,0
22,899661,city scrape,2013-01-29,,f,1,6.14957,Entire home/apt,1.0,1.0,$220.00,363,12,363,363.0,0,0,1,0,5.0,5.0,5.0,f,1,0
23,909957,city scrape,2010-12-23,100%,f,12,6.13086,Entire home/apt,1.0,4.0,$130.00,1125,10,1125,1125.0,0,34,303,0,4.72,4.7,4.57,f,3,0
