,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
1,1,203997,20241229042300,city scrape,Mike,2011-08-21,within an hour,100.0,100%,t,6,12,46.19964,6.1558,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,"[""Hair dryer"", ""Lake access"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Free dryer \u2013 In unit"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Hot water"", ""Shampoo"", ""Wifi""]",130.0,5,730,5,5,1125,1125,5.0,1125.0,t,11,41,65,65,89,6,0,4.91,4.98,4.89,4.97,4.99,4.96,4.81,t,2,2,0,0,0.6
3,3,338682,20241229042300,city scrape,Mike,2011-08-21,within an hour,100.0,100%,t,6,12,46.20708,6.15545,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""40 inch HDTV with standard cable"", ""Smoke alarm"", ""Oven"", ""Electric stove"", ""Fire extinguisher"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Shampoo"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Self check-in""]",133.0,5,365,3,5,1125,1125,5.0,1125.0,t,13,13,22,22,121,5,1,4.82,4.86,4.76,4.9,4.89,4.87,4.7,t,2,2,0,0,0.77
14,14,728403,20241229042300,previous scrape,Lucia,2012-10-06,within a day,100.0,93%,t,4,12,46.21404,6.12431,Entire rental unit,Entire home/apt,4,,1.0,,"[""Hair dryer"", ""Conditioner"", ""Long term stays allowed"", ""Hot water kettle"", ""Freezer"", ""Books and reading material"", ""Laundromat nearby"", ""Wine glasses"", ""Outdoor furniture"", ""Private entrance"", ""Breakfast"", ""Central heating"", ""Dishes and silverware"", ""Free washer \u2013 In building"", ""Kitchen"", ""Babysitter recommendations"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Ethernet connection"", ""Ceiling fan"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Free dryer \u2013 In building"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage"", ""Paid parking off premises"", ""Oven"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Host greets you"", ""Patio or balcony"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Board games"", ""Pocket wifi"", ""Cleaning products"", ""Extra pillows and blankets"", ""Single level home"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,54,0,0,4.74,4.81,4.96,4.8,4.94,4.63,4.61,t,4,1,3,0,0.36
33,33,1192759,20241229042300,city scrape,Jean-Philippe & Xuong,2013-05-18,within an hour,100.0,99%,t,2,2,46.20884,6.14587,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Hangers"", ""Iron"", ""Paid parking off premises"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Hot water"", ""51 inch HDTV with standard cable, premium cable"", ""Shampoo"", ""Wifi""]",83.0,3,14,3,3,14,14,3.0,14.0,t,13,17,19,19,657,37,2,4.82,4.86,4.92,4.93,4.94,4.9,4.77,t,2,0,2,0,4.66
101,101,4799361,20241229042300,city scrape,Helena,2014-12-11,within an hour,100.0,100%,t,3,4,46.19665,6.16074,Entire rental unit,Entire home/apt,2,1.5,0.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Dryer \u2013 In building"", ""Private patio or balcony"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Paid washer \u2013 In building"", ""Iron"", ""Coffee maker"", ""Oven"", ""Outdoor dining area"", ""Refrigerator"", ""HDTV with standard cable"", ""Microwave"", ""Free street parking"", ""Heating"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",135.0,5,365,5,5,1125,1125,5.0,1125.0,t,16,17,42,265,73,11,2,4.86,4.93,4.92,4.9,4.82,4.89,4.78,t,1,1,0,0,0.73
105,105,5066448,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.20474,6.15923,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",155.0,2,1125,1,2,1125,1125,2.0,1125.0,t,20,48,61,214,91,16,0,4.81,4.88,4.89,4.92,4.88,4.89,4.66,t,18,18,0,0,0.75
124,124,6382351,20241229042300,city scrape,Martin,2013-08-20,within a few hours,93.0,80%,t,5,5,46.21035,6.15004,Entire serviced apartment,Entire home/apt,4,1.5,1.0,3.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Babysitter recommendations"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Safe"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Cooking basics"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Bread maker"", ""Room-darkening shades""]",709.0,1,360,1,4,1125,1125,1.1,1125.0,t,21,51,81,338,3,1,0,4.67,4.67,5.0,5.0,4.33,5.0,4.67,t,5,5,0,0,0.06
145,145,7271653,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.20259,6.14457,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Washer"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Pets allowed"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Oven"", ""Toaster"", ""Body soap"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",130.0,1,365,1,1,1125,1125,1.0,1125.0,t,13,14,32,249,133,13,0,4.89,4.92,4.92,4.96,4.92,4.95,4.71,t,18,18,0,0,1.24
148,148,7336796,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.20259,6.14457,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Stove"", ""Wine glasses"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Pets allowed"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Clothing storage: closet and wardrobe"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Drying rack for clothing"", ""Oven"", ""Toaster"", ""Body soap"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",111.0,1,1125,1,2,1125,1125,2.0,1125.0,t,8,24,24,190,207,25,1,4.78,4.89,4.88,4.92,4.9,4.87,4.69,t,18,18,0,0,1.82
166,166,7798321,20241229042300,city scrape,Laurent,2015-08-10,within an hour,100.0,100%,t,2,3,46.2082748413086,6.14606189727783,Entire serviced apartment,Entire home/apt,7,3.0,4.0,5.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""First aid kit"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""45 inch HDTV with standard cable"", ""Paid parking off premises"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",462.0,3,1125,1,4,365,365,1.9,365.0,t,11,35,57,286,253,33,3,4.8,4.81,4.78,4.88,4.83,4.94,4.62,t,2,2,0,0,2.22
