,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
0,0,42515,20241229042300,city scrape,Noelle,2010-07-30,within a few hours,100.0,88%,f,1,1,46.20198,6.15672,Private room in rental unit,Private room,1,1.5,1.0,1.0,"[""Hair dryer"", ""Bathtub"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Hangers"", ""TV with standard cable"", ""Paid washer \u2013 In building"", ""Iron"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Wifi""]",89.0,3,1125,3,3,1125,1125,3.0,1125.0,t,28,58,88,363,79,6,1,4.74,4.73,4.78,4.86,4.84,4.85,4.55,f,1,0,1,0,0.49
4,4,399388,20241229042300,city scrape,Oscar,2012-03-23,within an hour,100.0,89%,t,2,3,46.18904,6.13908,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Stove"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Window guards"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Outdoor dining area"", ""Host greets you"", ""Outdoor playground"", ""Patio or balcony"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Sun loungers"", ""Paid parking on premises"", ""Single level home"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",53.0,2,1125,2,2,1125,1125,2.0,1125.0,t,4,4,27,269,57,7,1,4.85,4.81,4.88,4.95,4.89,4.7,4.7,f,2,0,2,0,0.38
5,5,411058,20241229042300,city scrape,Julik,2012-02-06,within a day,100.0,100%,f,1,3,46.21127,6.1454,Private room in loft,Private room,2,1.5,1.0,1.0,"[""Hair dryer"", ""Lake access"", ""Stove"", ""Washer"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""City skyline view"", ""Paid parking off premises"", ""Oven"", ""Host greets you"", ""Private living room"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free street parking"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Shared hot tub"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",125.0,2,7,2,2,7,7,2.0,7.0,t,23,53,83,83,56,3,0,4.79,4.84,4.86,4.94,4.96,4.89,4.64,f,1,0,1,0,0.43
6,6,419631,20241229042300,city scrape,Mark,2012-04-07,within an hour,100.0,90%,f,2,2,46.1995,6.17308,Private room in rental unit,Private room,2,1.5,1.0,1.0,"[""Hair dryer"", ""Fast wifi \u2013 92 Mbps"", ""Lake access"", ""Shared patio or balcony"", ""Indoor fireplace: wood-burning"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Garden view"", ""Electrolux induction stove"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""72 inch HDTV with Amazon Prime Video"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Oven"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Board games"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Shampoo""]",120.0,2,14,2,2,1125,1125,2.0,1125.0,t,28,32,32,32,81,4,0,4.94,4.98,5.0,4.99,4.99,4.86,4.91,t,2,1,1,0,0.57
17,17,751941,20241229042300,city scrape,Maysoon,2011-07-04,within a few hours,100.0,67%,f,2,5,46.20282,6.16197,Private room in rental unit,Private room,2,1.5,1.0,0.0,"[""Essentials"", ""Elevator"", ""Heating"", ""Shared hot tub"", ""HDTV with DVD player"", ""Stove"", ""Washer"", ""Shampoo"", ""Wifi"", ""Indoor fireplace"", ""Kitchen"", ""Dedicated workspace""]",80.0,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,74,2,0,4.5,4.58,4.58,4.7,4.82,4.82,4.53,f,2,1,1,0,0.64
20,20,775934,20241229042300,city scrape,Lucia,2012-10-06,within a day,100.0,93%,t,4,12,46.2116,6.12765,Private room in rental unit,Private room,1,1.5,1.0,1.0,"[""Hair dryer"", ""Conditioner"", ""Long term stays allowed"", ""Hot water kettle"", ""Stove"", ""Laundromat nearby"", ""Wine glasses"", ""Breakfast"", ""Private entrance"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Clothing storage: dresser"", ""Paid washer \u2013 In building"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Oven"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Paid dryer \u2013 In building"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Single level home"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",53.0,30,31,29,30,31,31,30.0,31.0,t,30,60,90,180,27,1,0,4.59,4.59,4.74,4.63,4.78,4.59,4.52,f,4,1,3,0,0.19
25,25,921964,20241229042300,city scrape,Odrey,2012-06-14,,,75%,f,1,1,46.21597,6.03816,Private room in rental unit,Private room,2,1.0,1.0,2.0,"[""Private backyard \u2013 Fully fenced"", ""Hot water kettle"", ""Shared patio or balcony"", ""Bathtub"", ""Freezer"", ""Valley view"", ""Wine glasses"", ""Outdoor furniture"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""TV with Amazon Prime Video, Netflix"", ""Essentials"", ""Baking sheet"", ""Garden view"", ""Pets allowed"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Rice maker"", ""Bed linens"", ""Hangers"", ""Free dryer \u2013 In building"", ""Iron"", ""Mountain view"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Induction stove"", ""Oven"", ""Toaster"", ""Outdoor dining area"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Free parking on premises"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Sun loungers"", ""Single level home"", ""Vineyard view"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Blender"", ""Room-darkening shades""]",60.0,4,90,4,4,90,90,4.0,90.0,t,29,59,86,86,4,2,0,5.0,4.75,5.0,5.0,5.0,4.75,5.0,f,1,0,1,0,0.03
31,31,1163211,20241229042300,city scrape,Peter,2013-05-13,within an hour,90.0,97%,t,1,1,46.20411,6.12994,Private room in rental unit,Private room,2,1.5,1.0,2.0,"[""Paid parking garage off premises"", ""Hair dryer"", ""Private backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water kettle"", ""Barbecue utensils"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Stove"", ""Wine glasses"", ""Outdoor furniture"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Private BBQ grill: gas"", ""Shower gel"", ""Exercise equipment: stationary bike"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""40 inch HDTV with Netflix, standard cable"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Record player"", ""Smoke alarm"", ""Body soap"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Board games"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Single oven"", ""Sound system with Bluetooth and aux"", ""Sun loungers"", ""Children\u2019s books and toys"", ""Dryer"", ""Paid parking on premises"", ""Cooking basics"", ""Cleaning available during stay"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Blender"", ""Room-darkening shades"", ""Coffee maker: espresso machine""]",84.0,1,190,1,1,190,190,1.0,190.0,t,29,59,82,95,223,65,5,4.89,4.91,4.95,4.93,4.93,4.8,4.77,f,1,0,1,0,1.58
32,32,1179787,20241229042300,city scrape,Jean-Philippe & Xuong,2013-05-18,within an hour,100.0,99%,t,2,2,46.21005,6.14517,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Washer"", ""HDTV with premium cable, standard cable"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Mountain view"", ""City skyline view"", ""Paid parking off premises"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Wifi""]",85.0,3,14,3,3,14,14,3.0,14.0,t,18,22,24,24,688,50,3,4.85,4.91,4.91,4.95,4.96,4.9,4.77,f,2,0,2,0,4.87
33,33,1192759,20241229042300,city scrape,Jean-Philippe & Xuong,2013-05-18,within an hour,100.0,99%,t,2,2,46.20884,6.14587,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Hangers"", ""Iron"", ""Paid parking off premises"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Hot water"", ""51 inch HDTV with standard cable, premium cable"", ""Shampoo"", ""Wifi""]",83.0,3,14,3,3,14,14,3.0,14.0,t,13,17,19,19,657,37,2,4.82,4.86,4.92,4.93,4.94,4.9,4.77,t,2,0,2,0,4.66
