,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
21,21,800449,20241229042300,previous scrape,Lucas,2012-11-22,within an hour,100.0,83%,f,2,5,46.20442,6.12666,Entire condo,Entire home/apt,5,,4.0,,"[""Hair dryer"", ""Private backyard"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""Private entrance"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Shower gel"", ""Ethernet connection"", ""Exterior security cameras on property"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""High chair"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Body soap"", ""Outdoor dining area"", ""Host greets you"", ""Patio or balcony"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Children\u2019s books and toys"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",,3,40,3,3,40,40,3.0,40.0,t,0,0,0,0,30,6,0,4.8,4.93,4.83,4.76,4.9,4.66,4.55,f,1,1,0,0,0.21
23,23,909957,20241229042300,city scrape,Pierre,2010-12-23,within an hour,100.0,99%,f,10,12,46.20508,6.13086,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,"[""Paid parking garage off premises"", ""Hair dryer"", ""Paid parking garage on premises \u2013 1 space"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Building staff"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Pets allowed"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Shower gel"", ""Changing table"", ""Dining table"", ""Sony  sound system with aux"", ""Dedicated workspace"", ""Ethernet connection"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""Microwave"", ""Board games"", ""Free street parking"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Shampoo"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Wifi"", ""Self check-in"", ""Blender"", ""Room-darkening shades""]",130.0,10,1125,10,10,1125,1125,10.0,1125.0,t,0,4,34,309,303,1,0,4.56,4.72,4.76,4.7,4.75,4.57,4.53,f,3,3,0,0,2.55
35,35,1254357,20241229042300,previous scrape,Cécile,2013-06-10,,,,f,1,1,46.25757,6.14388,Entire rental unit,Entire home/apt,8,,3.0,,"[""Hair dryer"", ""Long term stays allowed"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Private entrance"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Iron"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Fire extinguisher"", ""Free parking on premises"", ""Heating"", ""Children\u2019s books and toys"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",,21,180,21,21,180,180,21.0,180.0,t,0,0,0,0,2,0,0,5.0,4.5,5.0,5.0,5.0,3.5,4.5,f,1,1,0,0,0.02
36,36,1273891,20241229042300,city scrape,Ioan,2013-06-16,within a day,89.0,54%,f,2,5,46.20698,6.16053,Entire rental unit,Entire home/apt,5,2.0,3.0,3.0,"[""Hot tub"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""Lake access"", ""Host greets you"", ""Cooking basics"", ""Washer"", ""Hot water"", ""Fire extinguisher"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Hangers"", ""TV with standard cable""]",290.0,5,20,5,5,20,20,5.0,20.0,t,0,0,0,140,17,6,0,5.0,4.94,4.88,4.82,4.94,5.0,4.82,f,1,1,0,0,0.15
42,42,1580057,20241229042300,city scrape,Sonia,2012-04-12,a few days or more,0.0,0%,f,1,15,46.21275,6.15116,Entire rental unit,Entire home/apt,6,2.5,3.0,6.0,"[""Elevator"", ""Heating"", ""Dryer"", ""Washer"", ""Wifi"", ""Kitchen"", ""TV with standard cable""]",250.0,14,700,14,14,700,700,14.0,700.0,t,21,51,81,356,1,0,0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,f,1,1,0,0,0.01
48,48,1933255,20241229042300,city scrape,Christine Laure,2013-09-23,within an hour,98.0,85%,t,10,11,46.20375,6.14667,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Shower gel"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",395.0,1,1125,1,1,1125,1125,1.0,1125.0,t,12,33,53,252,438,45,1,4.85,4.89,4.86,4.91,4.94,4.93,4.71,f,9,9,0,0,3.26
66,66,2664733,20241229042300,city scrape,Gudrun,2014-03-28,within an hour,100.0,99%,t,7,8,46.17677,6.17199,Entire villa,Entire home/apt,11,3.5,5.0,12.0,"[""Hair dryer"", ""Indoor fireplace: wood-burning"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Outdoor furniture"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Private hot tub"", ""Kitchen"", ""Essentials"", ""Pets allowed"", ""Dedicated workspace"", ""High chair"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Gym"", ""Smoke alarm"", ""Private pool"", ""Outdoor dining area"", ""Host greets you"", ""Hammock"", ""Fire extinguisher"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Crib"", ""Heating"", ""Children\u2019s books and toys"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",1529.0,4,1125,4,4,1125,1125,4.0,1125.0,t,16,28,58,333,52,0,0,4.88,4.84,4.78,4.84,4.94,4.82,4.51,f,1,1,0,0,0.4
73,73,3102373,20241229042300,previous scrape,Sandrine,2013-01-06,a few days or more,0.0,50%,f,2,2,46.21434,6.14983,Entire rental unit,Entire home/apt,6,,3.0,,"[""Hair dryer"", ""Outlet covers"", ""Lake access"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Outdoor furniture"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Babysitter recommendations"", ""Essentials"", ""Elevator"", ""Changing table"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Children\u2019s dinnerware"", ""Oven"", ""Outdoor dining area"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Pocket wifi"", ""Baby bath"", ""Children\u2019s books and toys"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Bread maker"", ""Wifi"", ""Room-darkening shades""]",,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,19,0,0,4.95,4.84,4.79,4.89,4.89,4.67,4.72,f,1,1,0,0,0.16
91,91,4264696,20241229042300,city scrape,Dani,2014-10-05,within a day,100.0,100%,f,3,3,46.19562,6.16128,Entire rental unit,Entire home/apt,6,1.5,2.0,2.0,"[""Hot tub"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Hangers"", ""Free parking on premises""]",565.0,1,2,1,1,2,2,1.0,2.0,t,0,7,7,90,52,0,0,4.73,4.88,4.96,4.85,4.88,4.73,4.71,f,1,1,0,0,0.42
125,125,6484997,20241229042300,city scrape,Henrique,2013-12-09,within an hour,100.0,100%,t,4,11,46.2212,6.1407,Entire rental unit,Entire home/apt,5,2.0,1.0,0.0,"[""Hot tub"", ""Essentials"", ""Hair dryer"", ""Elevator"", ""Heating"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Kitchen""]",250.0,4,1125,4,5,1125,1125,4.1,1125.0,t,17,17,17,17,0,0,0,,,,,,,,f,4,1,2,1,
